FID,MAP,REFNAME,PARKNAME,LOCATION,OBSERVER,FIELDDATE,APPROVDATE,MANAGER,CS,PS,PS_HIGH,PS_LOW,CU,CU_ACTUAL,PU,PU_HIGH,PU_LOW,TH_RANK_CS,TH_RANK_PS,PROB_FLAG,TRL_ENTPT,TRL_SIGN,PARKING,PKG_AUTO,PKG_BUS,PKG_HORSE,PKG_HANDIC,PKG_TYPE,PKG_SUBSTR,RESTROOM,RSTRM_TYPE,RANGER_STA,INFO_KIOSK,WAY_EXH,WATER,PHONE,GARBAGE,RECYC_BINS,MUTTMITT,SCEN_OVRLK,PICNIC,CAMP_REG,CAMP_GRP,CAMP_BCK,COMMENTS,COASTALZN,LVMCOG_TH,lat,lng,SMMTC_TH,DOGS,COUNTY,JURISDN
152,18,Saddle Peak Rd,,Saddle Peak Road,Jessica/Jill,4/3/2003,mb12/07/03 entered by NK 09/03/0,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Coastal,0,34.07375571,-118.62158,0,,LOS ANGELES,Unincorp LA
153,31,Nicholas Flat Trailhead,Leo Carrillo State Park,Nicholas Ridge ^ Decker School Road,Ralf,,mb12/31/03 entered by NK  09/10/,CDPR,OP,OP,OP,OP,HO,HO,HO,,,Tertiary,Tertiary,,Yes,Yes,Yes,2,0,0,0,pullout,paved,No,NA,No,Yes,No,No,No,XX,XX,XX,No,No,No,No,No,Beat up one sided interp board.  Bullet holes in signage - needs to be replaced.,In,2,34.07049468,-118.9063126,0,N,LOS ANGELES,Unincorp LA
154,3,Encinal Cyn Rd pullout,,Encinal Canyon Road,"MB/EE
MB/EE",6/8/2000,6/8/2000,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Coastal,0,34.07150317,-118.8750338,0,,LOS ANGELES,Unincorp LA
155,18,Saddle Peak Rd,,Saddle Peak Road,Jessica/Jill,4/3/2003,mb12/07/03 entered by NK 09/03/0,,DL,DL,DL,DL,,,,,,NA,NA,,Maybe,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Coastal,0,34.07520968,-118.6263636,0,,LOS ANGELES,Unincorp LA
156,86,Temescal Ridge Trailhead,Topanga State Park,"Via Las Palmas, PPal Highlands",MB,10/26/2000,mb10/31/00,LA City,OP,OP,OP,OP,MU,,MU,,,Tertiary,Tertiary,,Yes,Yes,Yes,11,0,0,1,parking lot,paved,Yes,flush,No,No,No,Yes,No,Yes,XX,XX,No,No,No,No,No,"Fenced-in parking lot, may close & lock at night.  Odd because there is a house number on post. Well-signed direcs to TH thru neighborhood.",Outside,2,34.07629302,-118.5462116,0,N,LOS ANGELES,Los Angeles
157,18,Saddle Peak Rd,,Saddle Peak Road,Jessica/Jill,4/3/2003,mb01/02/04 entered by NK 09/03/0,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,Fire gate,Coastal,0,34.07575065,-118.6279023,0,,LOS ANGELES,Unincorp LA
158,15,BBT - Piuma Rd Hairpin Trailhead,Malibu Creek State Park,Piuma Rd ^ hairpin corner,MB,,mb12/10/03 mb11/05/02 mb12/22/11,CDPR,OP,OP,OP,OP,HE,HE,,,,Tertiary,Tertiary,,Yes,Maybe,Yes,2,0,0,0,pullout,dirt,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,In-house review from memory. TMP Team:  Really no room for any other expansion.  Leave as-is.,Coastal,2,34.07618453,-118.6860689,0,N,LOS ANGELES,Unincorp LA
159,3,Encinal Cyn Rd pullout,,Encinal Canyon Road,"MB/EE
MB/EE",6/8/2000,6/8/2000,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Coastal,0,34.07344593,-118.8753577,0,,LOS ANGELES,Unincorp LA
160,52,Deer Creek Rd,,Deer Creek Road,Jessica/Jill,3/17/2003,mb12/31/03 entered by NK  09/10/,,DL,DL,DL,DL,,,,,,NA,NA,,Yes,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,Potential,No,No,No,No,Hooks up to a fire road,Outside,0,34.07168317,-118.9920193,0,,VENTURA,Unincorp Ventura
161,51,Sycamore Canyon Campground,Point Mugu State Park,PCH at Big Sycamore Canyon,Jessica/Jill,3/17/2003,mb12/31/03 entered by NK  09/10/,CDPR,OP,OP,OP,OP,MU,MU,,,,Primary,Primary,,Yes,Yes,Yes,45,0,99,4,parking lot,paved,Yes,flush,No,No,No,Yes,Yes,Yes,Yes,XX,No,Yes,Yes,No,No,Beach access via underpass.  No horses.  Outdoor shower.  Recycling bins.,In,2,34.07159097,-119.0141556,0,N,VENTURA,Unincorp Ventura
162,86,Santa Ynez Cyn Trailhead,Topanga State Park,Vereda De La Montura ^ Santa Ynez Canyon Trail,MB,10/26/2000,mb10/31/00,CDPR,OP,OP,OP,OP,HO,HO,HO,,,Tertiary,Tertiary,Yes,Yes,Yes,Yes,888,888,0,888,on-street,paved,No,NA,No,No,No,No,No,Yes,Yes,XX,No,No,No,No,No,"Trash/recycling bins.  No dogs, no bikes, no fires, no alcoholic bevs, on-street pkg prohibited 8am-6pm in vicinity of trailhead",Outside,2,34.07844589,-118.5672972,0,N,LOS ANGELES,Los Angeles
163,18,Saddle Peak Rd,,Saddle Peak Road,Jessica/Jill,4/3/2003,mb01/02/04 entered by NK 09/03/0,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,mb edits.,Coastal,0,34.0779723,-118.632408,0,,LOS ANGELES,Unincorp LA
164,86,Trailer Cyn Fire Rd,Topanga State Park,Michael Lane,MB,10/26/2000,mb10/31/00,LA County,OP,OP,OP,OP,MU,MU,MU,,,Tertiary,Tertiary,,Yes,Yes,Yes,5,0,0,0,on-street,paved,No,NA,No,No,No,No,No,No,No,No,No,No,No,No,No,"Only sign:  ""Entering CA SP property.  You are responsible?   Could be unpopular entry general public entrance.  10/15/09 MB - Dale Skinner at DPR said Flood Ctrl or LACFD may manage TH.  DPR does signs.",,2,34.07898046,-118.5596461,0,N,LOS ANGELES,Los Angeles
165,20,BBT - Piuma Rd Quaker-Ross,State Parkland,Piuma Rd ^ Cold Cyn Rd,MB,,mb12/10/03 mb11/05/02 mb6/8/05,private,DL,DL,DL,DL,NA,NA,NA,,,NA,NA,,Maybe,No,Proposed,0,0,0,0,parking lot,paved,Proposed,flush,No,Proposed,No,Maybe,XX,Proposed,Proposed,XX,No,No,No,No,No,Proposed BBT trailhead at graded development site.  MB has met on site w/Melinda Becker & other concerned citizens who would like to see trailhead at site.  TMP Team:  Site is contingent on DPR accepting the long-running OTD.  Perhaps use LVMWD water.  P,Coastal,0,34.07752605,-118.6925012,0,,LOS ANGELES,Unincorp LA
166,5,BBT - Kanan Trailhead,Zuma and Trancas Canyons,Kanan Dume Rd ^ Newton Cyn Rd,EE,6/14/2000,mb12/09/03 mb10/31/00,NPS,OP,OP,OP,OP,MU,MU,MU,,,Secondary,Secondary,,Yes,Yes,Yes,22,0,0,1,parking lot,paved,Proposed,composting,No,Yes,Yes,No,No,Yes,Yes,XX,No,No,No,No,No,brown trash bin,Coastal,2,34.07601481,-118.8154544,0,Y,LOS ANGELES,Unincorp LA
167,89,Kenter Ave (North end),Hilton Open Space,Kenter Avenue,MB/EE,8/4/2000,mb10/31/00,private / DWP,UP,UP,UP,UP,UN,MU,UN,,,Unauthorized,Unauthorized,Yes,Yes,No,Yes,888,888,888,888,on-street,paved,No,NA,No,No,No,No,No,XX,XX,XX,No,No,No,No,No,"narrow street, neighbors perturbed about public use",Outside,0,34.08197156,-118.4947045,0,,LOS ANGELES,Los Angeles
168,8,BBT - Latigo Cyn Rd,Castro Crest - Adjacent,Latigo Canyon Road ^ BBT,MB,11/5/2002,mb12/09/03 mb11/05/02,NPS,OP,OP,OP,OP,MU,MU,MU,,,Tertiary,Tertiary,,Yes,Yes,Yes,5,0,0,0,parking lot,dirt,No,NA,No,Proposed,No,No,XX,XX,XX,XX,No,No,No,No,No,"In-office review based on memory.  TMP Team:  Keep as-is, except add info bulletin board.",Coastal,2,34.07805297,-118.7937182,0,Y,LOS ANGELES,Unincorp LA
169,99,Yerba Buena Rd,,Yerba Buena Road,Jessica/Jill,3/17/2003,entered by NK  09/10/03,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Outside,0,34.07585698,-118.9535926,0,,VENTURA,Unincorp Ventura
170,10,Corral Cyn ^ Mesa Peak Mtwy,Malibu Creek State Park,Corral Cyn Rd N Terminus,EE,6/14/2000,mb10/31/00,CDPR,OP,OP,OP,OP,MU,MU,,,,Tertiary,Tertiary,,Yes,No,Yes,2,0,0,0,pullout,dirt,No,NA,No,No,No,No,No,XX,XX,XX,No,No,No,No,XX,"Mesa Peak Mtwy is gated.  Official, but not primary entr.  Main trailhead is to north.",in,0,34.07907751,-118.7554786,0,N,LOS ANGELES,Unincorp LA
171,30,BBT - Piuma Trailhead,Malibu Creek State Park,Malibu Canyon ^ Mesa Peak Motorway,MB  JZ/JK,11/5/2002,mb12/09/03 mb11/05/02,CDPR,OP,OP,OP,OP,MU,MU,MU,,,Tertiary,Tertiary,,Yes,Yes,Yes,25,0,0,0,parking lot,paved,Yes,chemical,No,Proposed,No,No,No,Yes,Proposed,XX,No,No,No,No,No,,Coastal,2,34.07984576,-118.7036368,0,N,LOS ANGELES,Unincorp LA
172,5,BBT - Kanan Dume Rd N - overflow,Zuma and Trancas Canyons,Kanan Dume Road N of Newton Cyn,EE,6/14/2000,mb01/01/04 mb10/31/00,NPS,OP,OP,OP,OP,MU,MU,EQ,,,Tertiary,Tertiary,,Yes,Yes,Yes,10,999,1,0,pullout,dirt,No,NA,No,Proposed,No,No,No,Proposed,Proposed,XX,Potential,No,No,No,No,SMMNRA and No Motor Vehicles signs posted.  TMP Team:  No toilet here - use toilet at other Kanan BBT lot.  Use as equestrian parking area?,Coastal,2,34.07867961,-118.8179875,0,Y,LOS ANGELES,Unincorp LA
173,18,BBT - Lois Ewen Overlook,Topanga State Park/Cold Creek Preserve,Saddle Peak Road ^ Piuma & Schueren Rds,MB,,mb12/10/03 mb11/05/02 mb09/18/08,MRCA,OP,OP,OP,OP,HE,HO,,,,Tertiary,Tertiary,,Yes,No,Yes,10,0,0,0,parking lot,paved,No,NA,No,No,Yes,No,No,Yes,XX,No,Official,No,No,No,No,11/2002 - Planning for overlook was underway  MB - 9/2008 - Lois Ewen Overlook now constructed.  Need to field check facilities.,Coastal,2,34.08129611,-118.6454166,0,Y,LOS ANGELES,Unincorp LA
174,17,Monte Nido/Maynard Dr,,Maynard Dr at Stunt High Trail,Jessica/Jill,4/3/2003,mb01/01/04 entered by NK 09/03/0,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,mb edits.  JZ/JK proposed as new trailhead.,Coastal,0,34.08189267,-118.6831961,0,,LOS ANGELES,Unincorp LA
175,10,BBT - Corral Canyon Trailhead,Malibu Creek State Park,End of Corral Cyn Rd,EE,6/14/2000,mb12/09/03 mb10/31/00,CDPR,OP,OP,OP,OP,MU,MU,MU,,,Tertiary,Tertiary,,Yes,Yes,Yes,50,0,0,0,parking lot,gravel,No,NA,No,No,No,No,No,Yes,Proposed,XX,No,No,No,No,No,"Signage:  no motorbikes, or camping;  dogs on leash OK (mb:  only to west, not to east);  Castro gated North of backbone trailhead.  TMP Team:  No facilities here owing to isolation, vandalism, crime potential.",Coastal,2,34.08191748,-118.7583635,0,Y,LOS ANGELES,Unincorp LA
176,18,Saddle Peak Rd ^ Hondo Cyn Trail,Topanga State Park,Saddle Peak Rd ^ Hondo Cyn Trail,M Beck,5/5/2008,mb 05/05/08,CDPR,OP,OP,OP,OP,HE,HO,HE,,,Tertiary,Tertiary,,Yes,Yes,Yes,1,0,0,0,on-street,dirt,No,NA,No,No,No,No,No,No,No,No,No,No,No,No,No,05/05/08 - Melanie added per field work to site BBT signage,Coastal,0,34.08371291,-118.6359916,0,N,LOS ANGELES,Unincorp LA
177,90,Westridge Dr (top of),Westridge-Canyon Back Wilderness Park,Westridge ^ West Mandeville Fire Rd,MB/EE,8/4/2000,mb10/31/00,private,UP,UP,UP,UP,UN,MU,UN,,,Unauthorized,Unauthorized,Yes,Yes,No,Yes,888,888,888,888,on-street,paved,No,NA,No,No,No,No,No,XX,XX,XX,No,No,No,No,No,"no parking 7am to 3pm Sat. & Sun. only.  Street is broad, no constraints on safe parking.",Outside,0,34.08548496,-118.5088835,0,,LOS ANGELES,Los Angeles
178,17,Monte Nido/Cold Cyn Rd,,Cold Canyon at Stunt High Trail,Jessica/Jill,4/3/2003,entered by NK 09/03/03,,UP,UP,UP,UP,,HE,,,,Unauthorized,Unauthorized,,Yes,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,mb edits.  JZ/JK proposed as new trailhead.,Coastal,0,34.08328098,-118.6845389,0,,LOS ANGELES,Unincorp LA
179,13,Malibu Ck St Pk/Tapia Park,Malibu Creek State Park,Tapia Park ^ Malibu Cyn Rd,MB,,mb01/01/04 mb01/08/03,CDPR,OP,OP,OP,OP,MU,MU,MU,,,Secondary,Secondary,,Yes,Maybe,Yes,112,0,0,2,parking lot,paved,Yes,flush,No,No,No,Yes,XX,Yes,XX,XX,No,Yes,No,No,No,In-hse edits.  Needs field check.  10/9/09 MB BingMaps pkg space count - Shuttle lot only:  112+2handic,Coastal,2,34.08290858,-118.7055356,0,N,LOS ANGELES,Unincorp LA
180,5,Kanan Dume Rd ^ Dume Canyon Rd,,Zuma & Trancas Cyns/Kanan Dume,EE,6/14/2000,mb10/31/00,Private,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Coastal,0,34.08248711,-118.8185962,0,,LOS ANGELES,Unincorp LA
181,20,Stunt Rd pullout,,Stunt Road,MB,,mb12/17/02,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Coastal,0,34.08512786,-118.6554755,0,,LOS ANGELES,Unincorp LA
182,20,Stunt Rd pullout,,Stunt Road,MB,,mb12/17/02,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Coastal,0,34.08511411,-118.6564953,0,,LOS ANGELES,Unincorp LA
183,30,Tapia Park ^ Mott Road,Tapia Park,Tapia Park ^ Mott Road,MB,1/29/2003,mb01/29/03,CDPR,DL,DL,DL,DL,,,,,,NA,NA,,Yes,Maybe,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,Input from MCSP staff.,Coastal,0,34.08436035,-118.7114854,0,,LOS ANGELES,Unincorp LA
184,20,Stunt Rd pullout,,Stunt Road,MB,,mb12/17/02,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Coastal,0,34.08536725,-118.6542721,0,,LOS ANGELES,Unincorp LA
185,89,Mt St Marys Fire Rd,,Mount Saint Marys Fire Road,MB/EE,8/4/2000,mb10/31/00,Private,UX,UX,UX,UX,,,,,,NA,NA,,No,No,Yes,888,888,888,888,parking lot,paved,No,NA,No,No,No,No,No,XX,XX,XX,No,No,No,No,No,used primarily by students,Outside,0,34.08786987,-118.4836532,0,,LOS ANGELES,Los Angeles
186,5,Kanan-Dume Rd pullout,,Kanan Dume Road,EE,6/14/2000,mb10/31/00,Private,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Coastal,0,34.08358407,-118.8163106,0,,LOS ANGELES,Unincorp LA
187,20,BBT - Stunt Rd,Malibu Creek State Park,Stunt Road,MB,,mb12/10/03 mb12/17/02,CDPR,OP,OP,OP,OP,HO,HO,,,,Tertiary,Tertiary,,Yes,Maybe,Yes,888,0,0,0,pullout,dirt,No,NA,No,No,No,No,No,No,No,XX,No,No,No,No,No,"In-hse review.  TMP Team:  did not review this entrance.  Probably should remain as a low-key entrance, similar to what will be at Yerba Buena/Etz-Meloy xing.",Coastal,0,34.08582291,-118.6602675,0,N,LOS ANGELES,Unincorp LA
188,20,Stunt Rd pullout,,Stunt Road,MB,,mb12/17/02,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Coastal,0,34.08623778,-118.6575912,0,,LOS ANGELES,Unincorp LA
189,20,Stunt Rd/Stunt High Trailhead,Cold Creek Preserve,Stunt ^ Stunt High Trail,MB,,mb01/01/04 mb12/17/02,MRT,OP,OP,OP,OP,HO,HO,,,,Tertiary,Tertiary,,Yes,Maybe,Yes,888,0,0,0,pullout,dirt,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,In-hse review,Coastal,2,34.08622185,-118.6587719,0,N,LOS ANGELES,Unincorp LA
190,89,Casiano Road,Sepulveda Pass Open Space,N terminus of Casiano Road,MB - in office,,,MRCA,OP,OP,OP,OP,MU,,,,,Tertiary,Tertiary,,Yes,,Yes,1,0,0,0,on-street,paved,No,NA,No,No,No,No,No,,,,No,No,No,No,No,MB - 07/27/08 - Added as OP because illus'd on MRCA map.  Need to field check facils.,Outside,2,34.08881623,-118.4724169,0,Y,LOS ANGELES,Los Angeles
191,17,Cold Cyn Rd,,Cold Canyon ^ Calabasas/Cold Creek Trail,Jessica/Jill,4/3/2003,mb01/01/04 entered by NK 09/03/0,,DL,DL,DL,DL,,,,,,NA,NA,,,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,mb edits,Coastal,0,34.0862948,-118.681431,0,,LOS ANGELES,Unincorp LA
192,36,Powderhorn Ranch Rd,,Powderhorn Ranch Road  Montevista Road,Andrew Paden,,2/24/2000,Private,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,Not sure if trail is present. Access is difficult.  Many no tres. Signs.,Coastal,0,34.08738819,-118.6177988,0,,LOS ANGELES,Unincorp LA
193,20,Stunt Rd,,Stunt Road,MB,,mb12/17/02,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Coastal,0,34.08682814,-118.6652804,0,,LOS ANGELES,Unincorp LA
194,2,Malibu Springs/Mulholland Hwy,Leo Carrillo State Park - Adjacent,Mulholland ^ Malibu Springs South Trailhead,MB/EE,6/8/2000,mb12/31/03 6/8/00,NPS,OP,OP,OP,OP,HO,HO,HO,,,Tertiary,Tertiary,,Yes,No,Yes,3,0,0,0,pullout,dirt,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,"signage: no dogs, no bikes",Coastal,2,34.08376373,-118.9181646,0,N,LOS ANGELES,Unincorp LA
195,23,Monte Vista Dr,,Monte Vista Drive  --  Montevista Road,Andrew Paden,,mb02/24/00,Private,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,This is a private community with all entrances marked as no tres.  Trails don't connect.,Coastal,0,34.08846262,-118.6118646,0,,LOS ANGELES,Unincorp LA
196,4,BBT - Encinal Cyn Rd,Zuma and Trancas Canyons,Encinal Canyon Clarke Ranch Road,MB/EE,6/8/2000,mb01/01/04  6/8/00,NPS,OP,OP,OP,OP,MU,,MU,,,Tertiary,Tertiary,,Yes,Yes,Yes,0,0,0,0,pullout,dirt,Proposed,composting,No,Proposed,No,No,XX,Proposed,Proposed,XX,No,No,No,No,No,proposed BBT trailhead,in,2,34.08535594,-118.8622592,0,Y,LOS ANGELES,Unincorp LA
197,51,Thornehill Broome Beach Campground,Point Mugu State Park,"Pacific Coast Highway, Thornehill Broome Beach C.G.",Jessica/Jill,3/17/2003,mb12/31/03 entered by NK  09/10/,CDPR,OP,OP,OP,OP,HO,HO,,,,Tertiary,Tertiary,,Yes,No,Yes,888,0,0,0,,XX,Yes,portable,No,No,No,Yes,Yes,Yes,XX,XX,No,No,Yes,Yes,No,"Campground host.    No shower.  mb - doesn't access inland trail network, but would serve California Coastal Trail.",In,0,34.08301848,-119.0355408,0,N,VENTURA,Unincorp Ventura
198,23,Topanga Cyn Blvd/Old Topanga C,,Topanga Canyon ^ Old Topanga Canyon,MB,11/1/2000,mb11/01/00,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Coastal,0,34.08958196,-118.6047152,0,,LOS ANGELES,Unincorp LA
199,4,Zuma/Trancas Edison Rd Access Rd.,Zuma/Trancas Canyons,Encinal Canyon ^ Edison,MB/EE,6/8/2000,mb12/09/03 6/8/00,NPS,UP,UP,UP,UP,UN,HE,UN,,,Unauthorized,NA,,Yes,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,"Edison access road. Public can park somewhere along Encinal & walk up this road to reach BBT, but no plans to make it official.",Coastal,0,34.08621833,-118.8461907,0,,LOS ANGELES,Unincorp LA
200,4,Encinal Cyn Rd ^ Malibu Country Club,Trancas Canyon,Encinal Cyn Rd ^ Malibu Country Club,MB/EE,6/8/2000,mb01/01/04 6/8/00,NPS,UP,UP,UP,UP,NA,HO,NA,,,Unauthorized,NA,,Yes,No,Yes,10,0,0,0,pullout,dirt,No,NA,No,No,No,No,No,XX,XX,XX,No,No,No,No,No,Only serves a Camp 13 unauthorized trail.  Trail should be rehab'd & access should be at BBT/Encinal proposed TH.,Outside,0,34.08747488,-118.8550305,0,,LOS ANGELES,Unincorp LA
201,17,Cold Cyn Rd,,Cold Canyon Road,Jessica/Jill,4/3/2003,mb01/01/04 entered by NK 09/03/0,,DL,DL,DL,DL,,,,,,NA,NA,,Yes,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,mb edits,Coastal,0,34.09028143,-118.6807044,0,,LOS ANGELES,Unincorp LA
202,20,Stunt Ranch/Stunt Rd,Cold Creek Preserve,Stunt ^ Stunt High Trail,,,mb01/01/04,MRCA,OP,OP,OP,OP,HO,HO,HO,,,Tertiary,Tertiary,,Yes,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,In-hse review.  No facilities besides trail signage.,Coastal,0,34.09073382,-118.6571956,0,N,LOS ANGELES,Unincorp LA
203,23,Topanga State Park/Entrada Rd,Topanga State Park,Entrada Road,Andrew,2/23/2000,mb11/01/00,CDPR,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Coastal,0,34.0915985,-118.5931972,0,,LOS ANGELES,Unincorp LA
204,20,Upper Stunt High Trail Trailhead,Stunt Ranch,Stunt High Trail ^ Stunt Ranch Entrance,,,mb01/01/04,Cold Creek Preserve,OP,OP,OP,OP,HO,HO,,,,Tertiary,Tertiary,,Yes,Maybe,Yes,888,0,0,0,on-street,dirt,No,NA,No,No,No,No,No,No,No,No,No,No,No,No,No,"In-hse review.  10/15/09 MB - Spoke w Nancy Helsley.  School busses pick children up from this point, not down in the ranch, itself.  People can park along road.",Coastal,2,34.0907765,-118.6557018,0,N,LOS ANGELES,Unincorp LA
205,2,Mulholland Hwy,,Mulholland Highway,MB/EE,6/8/2000,6/8/2000,Private,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,private driveway,Coastal,0,34.08744815,-118.8980621,0,,LOS ANGELES,Unincorp LA
206,117,Topanga State Park/Colina Dr.,Topanga State Park,Colina Dr. at Trippet Lateral Gate,MB - in office,5/28/2001,mb05/28/01,CDPR,UP,UP,UP,UP,,,,,,Unauthorized,Unauthorized,Yes,Yes,Maybe,Maybe,0,0,0,0,,,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,Not field-checked.  Walk-in from terminus of Colina.  Could be informal parking & signage.  Move pt to gate outside TSP (done).  May be private neighborhood entrance?,Outside,0,34.09198103,-118.5888329,0,,LOS ANGELES,Unincorp LA
207,20,Stunt Ranch/Stunt Rd,,Stunt ^ Cold Creek Tributary,,,mb01/01/04,,UP,UP,UP,UP,,,,,,Unauthorized,Unauthorized,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,"In-hse review, but know there isn't official public access here & probably won't be for the foreseeable future?",Coastal,0,34.09107035,-118.6586518,0,,LOS ANGELES,Unincorp LA
208,2,Malibu Springs/Mulholland Hwy,Malibu Springs,Mulholland ^ Malibu Springs North,MB/EE,6/8/2000,6/8/2000,NPS,DL,DL,DL,DL,,,,,,NA,NA,,No,No,Yes,888,888,888,888,pullout,dirt,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,closed trailhead with white boards nailed on bridge,Coastal,0,34.0874753,-118.912309,0,,LOS ANGELES,Unincorp LA
209,51,La Jolla Canyon Group Campground,Point Mugu SP,La Jolla Canyon Group Campground,JA,4/1/2001,,DPR,DL,DL,DL,DL,HO,,,,,Secondary,Secondary,,Yes,Maybe,Yes,888,888,0,888,XX,XX,Yes,XX,Yes,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,Yes,XX,Incomplete entry.  Need to ask Jim if he recorded all the TH info on a sheet when he was doing the fieldwork.  Point has been entered in parkentr3.shp.    Mb 12/27/01  mb12/31/03 DL - not a TH; only campground.  Use Ray Miller TH.,in,0,34.08560824,-119.035316,0,,VENTURA,Unincorp Ventura
210,23,92 Trail ^ Entrada Rd,Topanga State Park,92 Trail ^ Entrada Rd,Andrew Paden,2/23/2000,mb01/02/04 mb2/23/00,CDPR,OP,OP,OP,OP,HE,HE,HE,,,Tertiary,Tertiary,,Yes,No,Yes,3,0,0,0,on-street,dirt-pullou,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,in,0,34.09215523,-118.5923354,0,N,LOS ANGELES,Unincorp LA
211,2,Mulholland Hwy,,Mulholland Highway,MB/EE,6/8/2000,6/8/2000,Private,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,private driveway,Coastal,0,34.08785962,-118.8963783,0,,LOS ANGELES,Unincorp LA
